iter	Recall	Logloss
237	0.8104271519	0.3676966016
238	0.8108142986	0.3675143398
239	0.8115885921	0.3671702825
240	0.8124919344	0.3668581074
241	0.8118466899	0.3663476481
242	0.8123628855	0.3662340596
243	0.8124919344	0.3659773044
244	0.8126209834	0.3657171546
245	0.8130081301	0.3654963954
246	0.8132662279	0.3652344208
247	0.8139114724	0.3651081889
248	0.8141695703	0.3648227216
249	0.8146857659	0.3646705244
250	0.8152019615	0.3644998141
251	0.8153310105	0.3644075614
252	0.8158472061	0.3639807233
253	0.8164924506	0.3636971717
254	0.8170086463	0.3634521379
255	0.8175248419	0.3632205084
256	0.8171376952	0.3630499337
257	0.8179119886	0.3628003181
258	0.8175248419	0.362596574
259	0.8176538908	0.3621953554
260	0.8177829397	0.3619081611
261	0.818815331	0.361657554
262	0.8198477223	0.3613793159
263	0.8206220157	0.361090201
264	0.8211382114	0.36076775
265	0.8213963092	0.3606801744
266	0.8221706027	0.3604379894
267	0.8219125048	0.3602223686
268	0.8220415537	0.3600057855
269	0.8224287005	0.3595603373
270	0.8226867983	0.3592208594
271	0.8229448961	0.359076636
272	0.8234610918	0.3588232098
273	0.8232029939	0.3583389623
274	0.8248806298	0.3579540776
275	0.8241063363	0.3577468138
276	0.8256549232	0.3575456514
277	0.8248806298	0.3571738141
278	0.8248806298	0.356962235
279	0.8248806298	0.3565790961
280	0.8256549232	0.3563250293
281	0.8265582656	0.3560300138
282	0.8266873145	0.3556109397
283	0.8268163634	0.3552066108
284	0.8270744612	0.3548827161
285	0.827332559	0.3546606393
286	0.8270744612	0.3543703316
287	0.8277197058	0.3540222994
288	0.8286230481	0.3537018802
289	0.828881146	0.353461486
290	0.8291392438	0.3531999812
291	0.8314621241	0.3529453814
292	0.8319783198	0.3526739457
293	0.8318492709	0.352388186
294	0.8319783198	0.3521518734
295	0.8323654665	0.3518359846
296	0.8324945154	0.351519689
297	0.8323654665	0.3514608541
298	0.8324945154	0.3511429485
299	0.8319783198	0.3510025904
300	0.8330107111	0.3508944456
301	0.83313976	0.3507476087
302	0.8335269067	0.3506707617
303	0.8333978578	0.3503596952
304	0.8336559556	0.3500447532
305	0.8335269067	0.3498440814
306	0.8346883469	0.3496603001
307	0.834559298	0.3494489069
308	0.8348173958	0.3492178627
309	0.8344302491	0.3489002411
310	0.8348173958	0.3486363306
311	0.834559298	0.3484356616
312	0.8346883469	0.348147203
313	0.8357207382	0.347913466
314	0.8363659827	0.3476784754
315	0.8361078849	0.3474456777
316	0.8372693251	0.347258316
317	0.8372693251	0.3471799755
318	0.837398374	0.3470416116
319	0.837398374	0.3467842878
320	0.8377855207	0.346531847
321	0.8381726674	0.3462356441
322	0.8384307653	0.3460438581
323	0.838817912	0.345711469
